Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
0.9969:User 1:(0.5, 0.8, 0.6):(0.9, 0.8, 0.7):(0.8, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
0.9969:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
14.9585:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
14.9585:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
31.9131:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
31.9131:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
49.8657:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
49.8657:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
65.8227:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
65.8227:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
83.8429:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
83.8429:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
99.7991:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
99.7991:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
116.6881:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
116.6881:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
133.6715:User 1:(0.5, 0.8, 0.6):(0.8, 0.8, 0.7):(0.7, 0.9, 0.7):PosTouchU1:right:::null::5:6:null:(0.0, 0.8, 0.9)
133.6715:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.7, 0.9, 0.7):PosTouchU2:right:::null::5:6:null:(0.2, 0.9, -0.4)
