Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
0.9981:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
0.9981:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
16.9549:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
16.9549:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
33.9098:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
33.9098:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
50.8657:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
50.8657:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
67.8185:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
67.8185:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
83.7764:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
83.7764:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
101.7277:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
101.7277:User 2:(2.0, 0.0, -1.2):(0.1, 0.0, 1.1):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
117.6876:User 1:(0.5, 0.8, 0.6):(0.8, 0.9, 0.8):(0.8, 0.9, 0.8):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
