Time:User:UserPos:UserRHPos:UserLHPos:UserPosToque:UserMaoDeToque:UserTouchType:UserAction:HoverUnityName:HoverObjectType:NQuadToSelect:NCircToSelect:LastCollidingObj:HandCubePos
1.9922:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
1.9922:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
16.0211:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
16.0211:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
32.9289:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
32.9289:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
49.9333:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
49.9333:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
66.9015:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
66.9015:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
83.043:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
83.043:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
100.0021:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
100.0021:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
117.0177:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
117.0177:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
134.0365:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
134.0365:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
150.0325:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
150.0325:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
167.1017:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
167.1017:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
184.9793:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
184.9793:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
200.9375:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
200.9375:User 2:(0.5, 0.8, 0.7):(1.0, 0.9, 0.8):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.2, 0.9, -0.4)
217.8912:User 1:(2.0, 0.0, -1.2):(0.1, 0.0, -1.1):(0.3, 0.0, -1.1):(0.0, 0.0, 0.0):right:::null::5:6:null:(0.0, 0.8, 0.9)
