At 11289.0248 User1 tried to select circle and that is not possible.
At 11305.9778 User1 tried to select circle and that is not possible.
At 11322.9318 User1 tried to select circle and that is not possible.
At 11338.8909 User1 tried to select circle and that is not possible.
At 11355.8448 User1 tried to select circle and that is not possible.
At 11372.8 User1 tried to select circle and that is not possible.
At 11389.7493 User1 tried to select circle and that is not possible.
At 11406.7046 User1 tried to select circle and that is not possible.
At 11422.6924 User1 tried to select circle and that is not possible.
At 11440.6201 User1 tried to select circle and that is not possible.
At 11457.5744 User1 tried to select circle and that is not possible.
At 11474.5288 User1 tried to select circle and that is not possible.
At 11491.4837 User1 tried to select circle and that is not possible.
At 11507.4408 User1 tried to select circle and that is not possible.
At 11524.3954 User1 tried to select circle and that is not possible.
At 11541.3509 User1 tried to select circle and that is not possible.
At 11558.3045 User1 tried to select circle and that is not possible.
At 11575.2595 User1 tried to select circle and that is not possible.
At 11592.2185 User1 tried to select circle and that is not possible.
At 11608.2013 User1 tried to select circle and that is not possible.
At 11625.1264 User1 tried to select circle and that is not possible.
At 11642.0822 User1 tried to select circle and that is not possible.
At 11660.0325 User1 tried to select circle and that is not possible.
At 11675.9911 User1 tried to select circle and that is not possible.
At 11692.9456 User1 tried to select circle and that is not possible.
At 11709.903 User1 tried to select circle and that is not possible.
At 11726.8547 User1 tried to select circle and that is not possible.
At 11742.8117 User1 tried to select circle and that is not possible.
At 11760.7641 User1 tried to select circle and that is not possible.
At 11777.7182 User1 tried to select circle and that is not possible.
At 11793.6783 User1 tried to select circle and that is not possible.
At 11810.6309 User1 tried to select circle and that is not possible.
At 11827.5851 User1 tried to select circle and that is not possible.
At 11844.5397 User1 tried to select circle and that is not possible.
At 11861.4944 User1 tried to select circle and that is not possible.
At 11878.4484 User1 tried to select circle and that is not possible.
At 11895.4032 User1 tried to select circle and that is not possible.
At 11912.378 User1 tried to select circle and that is not possible.
At 11929.3126 User1 tried to select circle and that is not possible.
At 11945.2716 User1 tried to select circle and that is not possible.
At 11963.2227 User1 tried to select circle and that is not possible.
At 11979.1791 User1 tried to select circle and that is not possible.
At 11996.1338 User1 tried to select circle and that is not possible.
At 12013.089 User1 tried to select circle and that is not possible.
At 12030.0431 User1 tried to select circle and that is not possible.
At 12046.998 User1 tried to select circle and that is not possible.
At 13445.9473 User1 selected square and there is still 4 squares to select.
At 13461.9052 User1 selected square and there is still 4 squares to select.
At 13478.8592 User1 selected square and there is still 4 squares to select.
At 13495.8151 User1 selected square and there is still 4 squares to select.
At 13512.7683 User1 selected square and there is still 4 squares to select.
At 13529.7255 User1 selected square and there is still 4 squares to select.
At 13545.6815 User1 selected square and there is still 4 squares to select.
At 13563.6326 User1 selected square and there is still 4 squares to select.
At 13580.5874 User1 selected square and there is still 4 squares to select.
At 13596.5541 User1 selected square and there is still 4 squares to select.
At 13613.4994 User1 selected square and there is still 4 squares to select.
At 13630.4539 User1 selected square and there is still 4 squares to select.
At 13647.4156 User1 selected square and there is still 4 squares to select.
At 13664.3632 User1 selected square and there is still 4 squares to select.
At 13681.3182 User1 selected square and there is still 4 squares to select.
At 13698.2744 User1 selected square and there is still 4 squares to select.
At 13714.2297 User1 selected square and there is still 4 squares to select.
At 13731.1853 User1 selected square and there is still 4 squares to select.
At 13748.139 User1 selected square and there is still 4 squares to select.
At 13766.0934 User1 selected square and there is still 4 squares to select.
At 13782.0488 User1 selected square and there is still 4 squares to select.
At 13799.0035 User1 selected square and there is still 4 squares to select.
At 13815.9579 User1 selected square and there is still 4 squares to select.
At 13832.912 User1 selected square and there is still 4 squares to select.
At 13849.8675 User1 selected square and there is still 4 squares to select.
At 13866.8212 User1 selected square and there is still 4 squares to select.
At 13882.7791 User1 selected square and there is still 4 squares to select.
At 13900.36 User1 selected square and there is still 4 squares to select.
At 13917.2966 User1 selected square and there is still 4 squares to select.
At 13934.2501 User1 selected square and there is still 4 squares to select.
At 13950.2096 User1 selected square and there is still 4 squares to select.
At 13968.1607 User1 selected square and there is still 4 squares to select.
At 13985.1148 User1 selected square and there is still 4 squares to select.
At 14001.0709 User1 selected square and there is still 4 squares to select.
At 14018.025 User1 selected square and there is still 4 squares to select.
At 14034.9799 User1 selected square and there is still 4 squares to select.
At 14051.9352 User1 selected square and there is still 4 squares to select.
At 14068.8891 User1 selected square and there is still 4 squares to select.
At 14085.8448 User1 selected square and there is still 4 squares to select.
At 14101.8055 User1 selected square and there is still 4 squares to select.
At 14119.7577 User1 selected square and there is still 4 squares to select.
At 14135.7154 User1 selected square and there is still 4 squares to select.
